Date Disclosed,Project Name,Document Type,Project Number,Project Url,Product Line,Company Name,Country,IFC Country Code,Industry,Environmental Category,Department,Status,Projected Board Date,IFC Approval Date,IFC Signed Date,IFC Invested Date,IFC investment for Loan(Million - USD),IFC investment for Equity(Million - USD),Total IFC investment as approved by Board(Million - USD),WB Country Code,As of Date
2015-01-05,EMBonds,Summary of Investment Information (AIP Policy 2012),35950,https://disclosures.ifc.org/project-detail/SII/35950/embonds,Equity,EMERGING MARKETS BONDS EXCHANGE LIMITED,Southern Europe Subregion,Unknown,Financial Institutions,C,"TMT, Venture Capital &amp; Funds",Completed,02/02/2015,02/09/2015,04/07/2015,2015-04-16,0.0,1.5,1.5,Unknown,05/07/2025
2015-01-07,Fullerton Finance (Myanmar) Company Limited Equity,Summary of Investment Information (AIP Policy 2012),34502,https://disclosures.ifc.org/project-detail/SII/34502/fullerton-finance-(myanmar)-company-limited-equity,Equity,FULLERTON FINANCE MYANMAR CO LTD,Myanmar,BUA,Financial Institutions,FI-3,Regional Industry - FIG Asia & Pac,Completed,02/09/2015,06/24/2015,12/04/2015,2015-12-16,0.0,1.4,1.4,MM,05/07/2025
2015-01-08,DARP Encore ARC,Summary of Investment Information (AIP Policy 2012),34869,https://disclosures.ifc.org/project-detail/SII/34869/darp-encore-arc,Equity,ENCORE ASSET RECONSTRUCTION COMPANY,India,IND,Financial Institutions,FI-2,"Global Industry, Financial Markets",Completed,02/09/2015,09/11/2015,10/29/2015,2015-11-09,0.0,5.42,5.42,IN,05/07/2025
2015-01-09,Dangote Industries Limited,Summary of Investment Information (AIP Policy 2012),33744,https://disclosures.ifc.org/project-detail/SII/33744/dangote-industries-limited,Loan,DANGOTE INDUSTRIES LIMITED,Nigeria,NIR,Manufacturing,A,Regional Industry - MAS Africa,Active,03/16/2015,05/26/2016,12/05/2016,2018-04-24,150.0,0.0,150.0,NG,05/07/2025
2015-01-12,Wienco Liberia,Summary of Investment Information (AIP Policy 2012),36357,https://disclosures.ifc.org/project-detail/SII/36357/wienco-liberia,Loan,WIENCO LIBERIA LTD,Liberia,LIB,Manufacturing,B,Regional Industry - MAS Africa,Active,01/15/2015,01/15/2015,03/31/2015,2015-12-04,2.5,0.0,2.5,LR,05/07/2025
2015-01-12,WEOF - AMC Fund,Summary of Investment Information (AIP Policy 2012),36082,https://disclosures.ifc.org/project-detail/SII/36082/weof---amc-fund,Equity,"WOMEN ENTREPRENEURS DEBT FUND, LP",World Region,WLD,Funds,FI-2,"Disruptive Tech, Service & Funds",Active,02/12/2015,04/22/2015,05/10/2016,2016-06-29,0.0,30.0,30.0,99,05/07/2025
2015-01-14,Fairfield-KTM,Summary of Investment Information (AIP Policy 2012),35111,https://disclosures.ifc.org/project-detail/SII/35111/fairfield-ktm,Loan,NEPAL HOSPITALITY AND HOTELS PRIVATE LIMITED,Nepal,NEP,"Tourism, Retail, and Property",B,Regional Industry - MAS Asia & Pac,Completed,02/16/2015,05/27/2015,05/28/2015,2017-05-26,3.0,0.0,3.0,NP,05/07/2025
2015-01-15,Bandhan Banking Transformation,Summary of Investment Information (AIP Policy 2012),36166,https://disclosures.ifc.org/project-detail/SII/36166/bandhan-banking-transformation,Equity,BANDHAN FINANCIAL SERVICES LIMITED,India,IND,Financial Institutions,FI-2,Regional Industry - FIG Asia & Pac,Active,02/02/2015,07/12/2016,04/24/2015,2015-05-05,0.0,92.97,92.97,IN,05/07/2025
2015-01-15,ESIP Planet Labs,Summary of Investment Information (AIP Policy 2012),36363,https://disclosures.ifc.org/project-detail/SII/36363/esip-planet-labs,Equity,PLANET LABS PBC,World Region,WLD,"Telecommunications, Media, and Technology",B,"TMT, Venture Capital & Funds",Active,02/16/2015,02/25/2015,03/26/2015,2015-04-01,0.0,20.0,20.0,99,05/07/2025
2015-01-16,Iyzico,Summary of Investment Information (AIP Policy 2012),35828,https://disclosures.ifc.org/project-detail/SII/35828/iyzico,Equity,IYZICO ODEME HIZMETLERI A.S.,Turkiye,Unknown,Financial Institutions,C,"TMT, Venture Capital &amp; Funds",Completed,02/20/2015,03/02/2015,05/21/2015,2015-05-27,0.0,3.0,3.0,TR,05/07/2025
